date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:27:32	3292/3292	---M--	200	added ('OK')	image/png	etag:%2261d36288-cdc%22	https://opytex.com.br/media/static/img/pc-settings.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/pc-settings.png	(from https://opytex.com.br/)
18:27:33	153/153	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Feb%202023%2021:27:33%20GMT	https://opytex.com.br/media/uploads/depoimentos/thumbnail/Captura_de_Tela_2020-05-20_%c3%a0s_12.10.06.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/uploads/depoimentos/thumbnail/Captura_de_Tela_2020-05-20_%c3%a0s_12.10.06.png	(from https://opytex.com.br/)
18:27:33	153/153	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Feb%202023%2021:27:33%20GMT	https://opytex.com.br/media/uploads/depoimentos/thumbnail/Captura_de_Tela_2020-05-20_%c3%a0s_12.10.30.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/uploads/depoimentos/thumbnail/Captura_de_Tela_2020-05-20_%c3%a0s_12.10.30.png	(from https://opytex.com.br/)
18:27:33	290/290	---M--	200	added ('OK')	image/png	etag:%2261d36272-122%22	https://opytex.com.br/media/static/img/arrow-left.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/arrow-left.png	(from https://opytex.com.br/)
18:27:34	278/278	---M--	200	added ('OK')	image/png	etag:%2261d36284-116%22	https://opytex.com.br/media/static/img/arrow-right.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/arrow-right.png	(from https://opytex.com.br/)
18:27:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Feb%202023%2021:27:34%20GMT	https://opytex.com.br/blog/juntos-venceremos-o-covid-19	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/blog/juntos-venceremos-o-covid-19	(from https://opytex.com.br/)
18:27:34	333726/333726	---M--	200	added ('OK')	image/jpeg	etag:%2261d36394-5179e%22	https://opytex.com.br/media/uploads/depoimentos/thumbnail/rafael_DTLqHbH.jpg	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/uploads/depoimentos/thumbnail/rafael_DTLqHbH.jpg	(from https://opytex.com.br/)
18:27:34	32967/32967	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Feb%202023%2021:27:35%20GMT	https://opytex.com.br/blog/juntos-venceremos-o-covid-19/	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/blog/juntos-venceremos-o-covid-19/index.html	(from https://opytex.com.br/)
18:27:34	1148/1148	---M--	200	added ('OK')	image/png	etag:%2261d36294-47c%22	https://opytex.com.br/media/static/img/blog-prev-arrow.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/blog-prev-arrow.png	(from https://opytex.com.br/)
18:27:35	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Feb%202023%2021:27:35%20GMT	https://opytex.com.br/blog/covid-19-importancia-da-comunicacao-interna-nas-empresas-em-tempos-de-pandemia	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/blog/covid-19-importancia-da-comunicacao-interna-nas-empresas-em-tempos-de-pandemia	(from https://opytex.com.br/)
18:27:35	27987/27987	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Feb%202023%2021:27:35%20GMT	https://opytex.com.br/blog/covid-19-importancia-da-comunicacao-interna-nas-empresas-em-tempos-de-pandemia/	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/blog/covid-19-importancia-da-comunicacao-interna-nas-empresas-em-tempos-de-pandemia/index.html	(from https://opytex.com.br/)
18:27:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Feb%202023%2021:27:36%20GMT	https://opytex.com.br/blog/5-dicas-para-voce-reduzir-custos-na-sua-empresa	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/blog/5-dicas-para-voce-reduzir-custos-na-sua-empresa.39.delayed	(from https://opytex.com.br/)
18:27:36	1166974/1166974	---M--	200	added ('OK')	image/jpeg	etag:%2261d36346-11ce7e%22	https://opytex.com.br/media/uploads/blog/thumbnail/1_6bFC5lv.jpg	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/uploads/blog/thumbnail/1_6bFC5lv.jpg	(from https://opytex.com.br/)
18:27:36	28228/28228	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Feb%202023%2021:27:36%20GMT	https://opytex.com.br/blog/5-dicas-para-voce-reduzir-custos-na-sua-empresa/	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/blog/5-dicas-para-voce-reduzir-custos-na-sua-empresa/index.html	(from https://opytex.com.br/)
18:27:36	363148/363148	---M--	200	added ('OK')	image/jpeg	etag:%2261d36346-58a8c%22	https://opytex.com.br/media/uploads/blog/thumbnail/2.jpg	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/uploads/blog/thumbnail/2.jpg	(from https://opytex.com.br/)
18:27:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Feb%202023%2021:27:37%20GMT	https://opytex.com.br/blog/como-vender-para-grandes-empresas	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/blog/como-vender-para-grandes-empresas	(from https://opytex.com.br/)
18:27:37	176260/176260	---M--	200	added ('OK')	image/jpeg	etag:%2261d36348-2b084%22	https://opytex.com.br/media/uploads/blog/thumbnail/3.jpg	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/uploads/blog/thumbnail/3.jpg	(from https://opytex.com.br/)
18:27:37	34148/34148	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Feb%202023%2021:27:37%20GMT	https://opytex.com.br/blog/como-vender-para-grandes-empresas/	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/blog/como-vender-para-grandes-empresas/index.html	(from https://opytex.com.br/)
18:27:37	4371/4371	---M--	200	added ('OK')	image/png	etag:%2261d36292-1113%22	https://opytex.com.br/media/static/img/opytex-logo-white.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/opytex-logo-white.png	(from https://opytex.com.br/)
18:27:37	915/915	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261d36282-393%22	https://opytex.com.br/media/static/img/linkedin-xd-2.svg	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/linkedin-xd-2.svg	(from https://opytex.com.br/)
18:27:37	95957/95957	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261d3623c-176d5%22	https://opytex.com.br/media/static/js/vendors/jquery-1.11.3.min.js	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/js/vendors/jquery-1.11.3.min.js	(from https://opytex.com.br/)
18:27:38	7996/7996	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261d3623e-1f3c%22	https://opytex.com.br/media/static/js/vendors/jquery.mask.min.js	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/js/vendors/jquery.mask.min.js	(from https://opytex.com.br/)
18:27:38	48243/48243	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d1fb35a-bc73%22	https://alternativaverdesolar.com.br/media/static/js/lightslider.js	C:/Users/opytex-note-1/Documents/opytex/alternativaverdesolar.com.br/media/static/js/lightslider.js	(from https://opytex.com.br/)
18:27:39	12317/12317	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261d3623e-301d%22	https://opytex.com.br/media/static/js/vendors/imgLiquid.js	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/js/vendors/imgLiquid.js	(from https://opytex.com.br/)
18:27:39	21564/21564	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261d3623a-543c%22	https://opytex.com.br/media/static/js/app.js	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/js/app.js	(from https://opytex.com.br/)
18:27:39	10862/10862	---MCZ	200	added ('OK')	application/javascript	etag:W/%22637e2de2-2a6e%22	https://opytex.com.br/media/static/js/functions.js	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/js/functions.js	(from https://opytex.com.br/)
18:27:39	1094/1094	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261d3623a-446%22	https://opytex.com.br/media/static/js/modal-entrada.js	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/js/modal-entrada.js	(from https://opytex.com.br/)
18:27:40	381/381	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261d3623a-17d%22	https://opytex.com.br/media/static/js/chat.js	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/js/chat.js	(from https://opytex.com.br/)
18:27:40	39464/39464	---M--	200	added ('OK')	font/woff	etag:%2261d3624c-9a28%22	https://opytex.com.br/media/static/fonts/ProximaNovaReg.woff	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/fonts/ProximaNovaReg.woff	(from https://opytex.com.br/media/static/css/main.css?cb=1601493945154)
18:27:41	89732/89732	---M--	200	added ('OK')	application/octet-stream	etag:%2261d36242-15e84%22	https://opytex.com.br/media/static/fonts/proximanova.ttf	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/fonts/proximanova.ttf	(from https://opytex.com.br/media/static/css/main.css?cb=1601493945154)
18:27:41	40092/40092	---M--	200	added ('OK')	font/woff	etag:%2261d36242-9c9c%22	https://opytex.com.br/media/static/fonts/ProximaNovaBold.woff	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/fonts/ProximaNovaBold.woff	(from https://opytex.com.br/media/static/css/main.css?cb=1601493945154)
